matchType,matchId,date,tournamentId,tournamentName,tournamentCategory,surface,inOrOutdoor,tournamentCountry,roundName,draw,result,resultStatusDesc,winnerId,winnerEntry,winnerSeed,winnerName,winnerCountry,loserId,loserEntry,loserSeed,loserName,loserCountry
Fed/BJK Cup,33eb4341-1018-4e00-8364-23ffaa85358a,1964-09-02,W-FC-1964-WG-M-BEL-ARG-01,World Group,Fed/BJK Cup,Grass,O,United States,Last 16,Main Draw,8-6 6-2,,62227898-fc9e-41d0-8495-700d6a104654,,,Norma Baylon,ARG,286c23cd-8d36-43c6-817b-eb6ad878228f,,,Christiane Mercelis,BEL
Fed/BJK Cup,cdb5bdd4-8d9a-41ee-b776-0b969f7ac672,1964-09-02,W-FC-1964-WG-M-BEL-ARG-01,World Group,Fed/BJK Cup,Grass,O,United States,Last 16,Main Draw,6-1 6-3,,5ec557fe-a7bb-41ce-a2d9-9c95da132f80,,,Ana-Maria Bocio,ARG,741da787-fdaf-416d-8a65-7736b307dafd,,,Monique Bedoret,BEL
Fed/BJK Cup,a65ba2bc-3274-4ba2-a272-5d9ec6ad5f47,1964-09-03,W-FC-1964-WG-M-ARG-USA-01,World Group,Fed/BJK Cup,Grass,O,United States,Quarter Finals,Main Draw,6-3 6-2,,0f937de9-6c27-4917-8b0c-a529bc71b01c,,,Nancy Richey,USA,2f5a3130-408e-4f80-955a-83d23b428d17,,,Ana-Maria Bocio,ARG
Fed/BJK Cup,d2131312-0c77-4c70-a456-8a542d68c356,1964-09-03,W-FC-1964-WG-M-ARG-USA-01,World Group,Fed/BJK Cup,Grass,O,United States,Quarter Finals,Main Draw,12-10 9-7,,ec4c358f-f6e2-400b-9a52-37d031b2e2c9,,,Billie Jean King,USA,1c60d629-6bd3-4326-88d6-11e483fdf799,,,Norma Baylon,ARG
Fed/BJK Cup,5e286626-d422-4f5b-948f-633b8c038080,1965-01-15,W-FC-1965-WG-M-NZL-ARG-01,World Group,Fed/BJK Cup,Grass,O,Australia,Last 16,Main Draw,7-5 6-4,,ccbbb798-ae5d-46d5-99f9-f6e89765a199,,,Elizabeth Terry,NZL,01e45fd0-07ac-4d96-8706-bb776c273339,,,Nora Somoza,ARG
Fed/BJK Cup,a720e016-3b08-41ea-9a08-ee01c283f153,1965-01-15,W-FC-1965-WG-M-NZL-ARG-01,World Group,Fed/BJK Cup,Grass,O,Australia,Last 16,Main Draw,6-3 6-3,,f815efb3-b944-4534-9bfb-73d45412d315,,,Norma Baylon,ARG,54f8cc97-c873-4ca3-b4cc-df72cf5781ab,,,Ruia Morrison-Davy,NZL
Fed/BJK Cup,79a6f9b6-de9d-44d7-8734-7520c4ccddbb,1966-05-12,W-FC-1966-WG-M-ARG-FRG-01,World Group,Fed/BJK Cup,Clay,O,Italy,Last 16,Main Draw,6-4 6-4,,b1a78e15-fe79-41fd-a1b9-a3db4eb5c429,,,Edda Buding,FRG,a06cf74c-57c9-4ef9-a9b8-c8154af60f7f,,,Norma Baylon,ARG
Fed/BJK Cup,96a9a7b2-2bbe-4287-9805-2dd9cafe135a,1966-05-12,W-FC-1966-WG-M-ARG-FRG-01,World Group,Fed/BJK Cup,Clay,O,Italy,Last 16,Main Draw,6-0 6-3,,ae93f265-5937-4fff-9769-a4bcc67d1edb,,,Helga Masthoff,FRG,21548305-447c-4e62-80df-736676ea4f0e,,,Graciela Moran,ARG
Fed/BJK Cup,617a150c-71ff-46e2-81ba-7cc61cb2c3bf,1970-12-26,W-FC-1971-WG-M-ARG-NZL-01,World Group,Fed/BJK Cup,Grass,O,Australia,Last 16,Main Draw,6-4 11-9,,87fa79c7-ae53-47e8-88c2-477cd4da4267,,,Robyn Hunt,NZL,2b8086a4-5e91-40dd-98d3-da697fc85690,,,Ines Roget,ARG
Fed/BJK Cup,61b69b4b-d3e6-4e4f-8a82-f101ee2feaa4,1970-12-26,W-FC-1971-WG-M-ARG-NZL-01,World Group,Fed/BJK Cup,Grass,O,Australia,Last 16,Main Draw,9-7 6-3,,b3e7beb4-6bf4-47ee-982d-4855f0103b8a,,,Marilyn Pryde,NZL,df972175-547a-4726-aeac-6d3ed481a5fc,,,Raquel Giscafre,ARG
