matchId;date;tournamentId;tournamentName;tournamentCategory;surface;tournamentCountry;roundId;result;resultStatusDesc;winnerId;winnerEntry;winnerSeed;winnerName;winnerCountry;loserId;loserEntry;loserSeed;loserName;loserCountry
1100080523;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-1 6-4;;800208115;DA;1;Allison Bradshaw;USA;800195763;DA;;Petra Rampre;SLO
1100080524;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-4 6-3;;800183025;DA;;Nirupama Sanjeev;IND;800189465;WC;;Nadia Johnston;AUS
1100080525;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-3 6-4;;800191058;DA;;Petra Mandula;HUN;800182089;DA;;Lucie Ahl;GBR
1100080526;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-3 6-1;;800180450;DA;19;Alexandra Fusai;FRA;800202111;DA;;Vanessa Paffrath;GER
1100080527;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;7-6(5) 6-2;;800183052;DA;2;Andrea Glass;GER;800185361;DA;;Kyra Nagy;HUN
1100080528;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-3 7-5;;800189323;DA;;Desislava Topalova;BUL;800200012;DA;;Laura Dell'Angelo;ITA
1100080529;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;7-5 6-7(2) 6-2;;800187221;DA;;Michaela Pastikova;CZE;800183197;DA;;Lenka Nemeckova;CZE
1100080530;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-4 6-3;;800198272;DA;17;Milagros Sequera;VEN;800200738;DA;;Tina Hergold;SLO
1100080531;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-2 6-1;;800211451;DA;3;Lina Krasnoroutskaya;RUS;800205110;WC;;Jaslyn Hewitt;AUS
1100080532;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-2 6-1;;800195684;DA;;Zuzana Ondraskova;CZE;800674646;DA;;Stephanie Foretz;FRA
1100080533;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;1-6 6-3 8-6;;800205706;DA;;Maria-Elena Camerin;ITA;800195872;DA;;Yoon-Jeong Cho;KOR
1100080534;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;7-5 6-3;;800195826;DA;21;Angelika Bachmann;GER;800181061;DA;;Daphne Van De Zande;BEL
1100080535;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;1-6 6-2 6-4;;800182471;DA;4;Catalina Cristea;ROU;800181369;DA;;Renata Kolbovic;CAN
1100080536;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-2 6-2;;800181714;DA;;Maja Palaversic-Cooper-Smith;CRO;800190425;DA;;Antoaneta Pandjerova;BUL
1100080537;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;7-6(3) 6-3;;800199890;DA;;Kelly Liggan;IRL;800199742;WC;;Kristen Van Elden;AUS
1100080538;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;7-6(2) 6-3;;800191212;DA;;Sophie Georges;FRA;800204594;DA;14;Na Li;CHN
1100080539;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-3 7-5;;800191614;DA;;Bahia Mouhtassine;MAR;800188640;DA;5;Dawn Buth;USA
1100080540;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;1-6 6-1 6-2;;800192103;DA;;Gisela Riera-Roura;ESP;800196970;DA;;Maja Matevzic;SLO
1100080541;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-1 6-3;;800187620;DA;;Seda Noorlander;NED;800193532;DA;;Jana Hlavackova;CZE
1100080542;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;7-6(1) 7-5;;800205224;DA;24;Maria Jose Martinez Sanchez;ESP;800186101;DA;;Francesca Lubiani;ITA
1100080543;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-3 4-6 6-1;;800188443;DA;6;Ludmila Cervanova;SVK;800205519;DA;;Klara Koukalova;CZE
1100080544;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-2 6-1;;800187085;DA;;Karolina Jagieniak;FRA;800189259;DA;;Hana Sromova;CZE
1100080545;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-4 6-2;;800187801;DA;;Eva Krejcova;CZE;800182909;DA;;Selima Sfar;TUN
1100080546;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;7-6(3) 6-3;;800185358;DA;15;Anca Barna;GER;800199781;DA;;Ainhoa Goni-Blanco;ESP
1100080547;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;7-6(2) 4-6 6-2;;800198785;DA;7;Katarina Srebotnik;SLO;800203284;DA;;Sarah Taylor;USA
1100080548;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-4 6-7(3) 6-1;;800180211;DA;;Mirielle Dittmann;AUS;800192107;DA;;Conchita Martinez-Granados;ESP
1100080549;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-3 6-0;;800186233;DA;;Irina Selyutina;KAZ;800184103;DA;;Dragana Zaric;YUG
1100080550;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-2 6-3;;800794764;DA;16;Nuria Llagostera;ESP;800207432;WC;;Samantha Stosur;AUS
1100080551;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-3 6-4;;800205288;DA;8;Bianka Lamade;GER;800205394;WC;;Monique Adamczak;AUS
1100080552;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;7-6(2) 6-4;;800181713;DA;;Eva Bes-Ostariz;ESP;800199361;WC;;Amy Jensen;AUS
1100080553;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-4 3-6 6-2;;800180094;WC;;Kerry-Anne Guse;AUS;800197198;DA;;Eva Dyrberg;DEN
1100080554;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-2 6-0;;800205786;DA;13;Elena Bovina;RUS;800185357;DA;;Adriana Barna;GER
1100080555;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-0 6-0;;800181281;DA;9;Yuka Kaneko;JPN;800213921;DA;;Julia Vakulenko;UKR
1100080556;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-4 6-3;;800190955;DA;;Rosa-Maria Andres-Rodriguez;ESP;800181287;DA;;Lisa McShea;AUS
1100080557;15/1/2001;1100000808;Australian Open;Grand Slam;Hard;Australia;1;6-4 6-7(4) 6-1;;800196910;DA;;Marie-Eve Pelletier;CAN;800390897;DA;;Maria Desamparados Ramon Climent;ESP
