display_name_length,wta_id,display_name
31,316339,Almudena Sanz-Llaneza Fernandez
31,335425,Ana Carolina Barbosa Caregnatto
31,318226,Anna Katalina Alzate Esmurzaeva
31,322122,Laura Daniela Arciniegas Patiño
31,50057,Mary-Ann Curtis (eisel-Beattie)
31,332786,Natalia María Barcelo Fernández
31,331682,Yasmin Bohnenberger De Aguirres
32,325178,Alexia Alvarez Gerochristodoulou
32,,Angelina Magdalena Assis Delfino
32,336476,Catherine Nicol Pilaguano Chicue
32,,Evelyne Christelle Atticia Tiron
32,320354,Giovana Da Costa Rodrigues Alves
32,332787,María Florencia Escobedo Quaglio
32,332721,María Josefina Andrade Benedetti
32,336765,Scarlet Selena Panijan Haenseler
33,331560,Catarina Mellei Ibiaraba Melleiro
33,,Jordana Victoria Salcedo Franklin
33,30470,Margalita Chakhnashvili-Ranzinger
33,331549,Maria Carolina Ferreira Turchetto
33,,Paloma Florencia Caceres Villalba
34,324786,Guiomar Maristany Zuleta De Reales
35,325888,Alessandra Mecchi De Oliveira Silva
36,,Fabiola Estefania Cardenas Gutierrez
36,,Gabriela Alejandra Carrillo Palacios
36,330772,Ginevra Parentini Vallega Montebruno
37,334568,Giovana Schincariol Delatorre Barbosa
37,333868,Lara Bela Frederico De Almeida Santos
38,,Nathalie Geraldine Marinovitch Zegarra
42,334856,Julia Julia Cerqueira Carvalho Farias Lima
46,330779,Login Mohamed Ahmed Khairy Mohamed Ahmed Youss
