display_name,wta_id,itf_id,alias_record_found,raw_name_variants,first_unmatched_match_date,last_unmatched_match_date,unmatched_match_count,source_files,example_tournaments,example_ranking_week_dates
Alicia Díaz Coique,,800218781,yes,Alicia Diaz Coique,1999-08-30,1999-11-15,4,itf_matches_arg.csv,"$10,000 Asuncion | $10,000 Campos | $10,000 Montevideo | $10,000 San Juan",1999-08-30 | 1999-09-20 | 1999-09-27 | 1999-11-15
Aline Nenot,,800173793,yes,Aline Nenot,1969-05-19,1969-05-19,1,gs_matches_arg.csv,Roland Garros,
Amanda Tobin-Dingwall,,800176360,yes,Amanda Tobin-Dingwall,1977-05-16,1979-06-25,2,gs_matches_arg.csv,Roland Garros | Wimbledon,
Amaranta Espineli,,800208836,yes,Amaranta Espineli,1997-09-08,1997-09-08,1,itf_matches_arg.csv,"$10,000 La Paz",1997-09-08
Ana Franca,,800103281,yes,Ana Franca,1996-04-29,1996-04-29,1,itf_matches_arg.csv,"$25,000 Florianopolis",1996-04-29
Ana Serrot-Geminelli,,800192833,yes,Ana Serrot-Geminelli,1997-02-10,1997-02-10,1,itf_matches_arg.csv,"$10,000 Mallorca",1997-02-10
Ana-Carolina Martinez,,800204183,yes,Ana-Carolina Martinez,1997-02-10,1998-04-06,5,itf_matches_arg.csv,"$10,000 Isla De Margarita | $10,000 Vina Del Mar | $25,000 Bogota II | $25,000 Cali | $75,000 Bogota",1997-02-10 | 1997-02-17 | 1997-08-11 | 1997-12-08 | 1998-04-06
Ana-Maria Franco-Lopez,,800201019,yes,Ana-Maria Franco-Lopez,1997-05-05,1997-05-05,1,itf_matches_arg.csv,"$10,000 Tortosa",1997-05-05
Ana-Maria Segura-Perez,,800179087,yes,Ana-Maria Segura-Perez,1990-07-09,1992-05-04,3,gs_matches_arg.csv | wta_matches_arg.csv,Peugeot Italian Open - Rome | Roland Garros | Swedish Open - Bastad,1990-07-09 | 1991-05-20 | 1992-05-04
Ana-Paola Gonzalez-Diaz,,800188392,yes,Ana-Paola Gonzalez-Diaz,1996-10-07,1997-10-14,6,itf_matches_arg.csv,"$10,000 Coatzacoalcos | $10,000 Mexico City | $10,000 Tampico | $25,000 Tampico",1996-10-07 | 1996-10-28 | 1997-10-06 | 1997-10-13
Analía Romano,,800224372,yes,Analia Romano,2000-08-21,2000-09-11,3,itf_matches_arg.csv,"$10,000 Buenos Aires",2000-08-21 | 2000-09-04 | 2000-09-11
Ananda Ferrari,,800209571,yes,Ananda Ferrari,1997-11-24,1997-11-24,1,itf_matches_arg.csv,"$10,000 Campinas",1997-11-24
Andela Karic,,800207009,yes,Andela Karic,1998-03-25,1998-03-25,1,itf_matches_arg.csv,"$10,000 Makarska Satellite",1998-03-23
Andrea Fernandez,,800215644,yes,Andrea Fernandez,1998-09-21,1999-10-04,3,itf_matches_arg.csv,"$10,000 Santiago",1998-09-21 | 1999-03-29 | 1999-10-04
Andrea Fiore,,800201372,yes,Andrea Fiore,1996-05-20,1996-07-22,3,itf_matches_arg.csv,"$10,000 Buenos Aires | $25,000 Buenos Aires",1996-05-20 | 1996-05-27 | 1996-07-22
Andrea Strnadova,,800179941,yes,Andrea Strnadova,1991-01-14,1994-08-01,7,gs_matches_arg.csv | wta_matches_arg.csv,Australian Open | Internationaux de Strasbourg - Strasbourg | Nutri-Metics Bendon Classic - Auckland | Toshiba Classic - San Diego | Volvo Women's Open - Pattaya City,1991-01-14 | 1991-01-28 | 1991-06-24 | 1992-05-18 | 1993-01-18
