matchType,matchId,date,tournamentId,tournamentName,tournamentCategory,surface,inOrOutdoor,tournamentCountry,roundName,draw,result,resultStatusDesc,winnerId,winnerEntry,winnerSeed,winnerName,winnerCountry,loserId,loserEntry,loserSeed,loserName,loserCountry
WTA,LS001,2009-09-28,1056,Toray Pan Pacific Open - Tokyo,WTA,Hard,O,Japan,2nd Round,M,6-3 3-6 6-4,,506,,,Iveta Benesova,CZE,446,,,Gisela Dulko,ARG
WTA,LS002,2009-09-26,1056,Toray Pan Pacific Open - Tokyo,WTA,Hard,O,Japan,1st Round,M,6-3 6-0,,446,,,Gisela Dulko,ARG,5248,,,Agnes Szavay,HUN
WTA,LS001,2009-09-15,0656,Bell Challenge - Quebec City,WTA,I.hard,I,Canada,1st Round,M,6-4 6-2,,5591,,,Regina Kulikova,RUS,950,,,Jorgelina Cravero,ARG
WTA,LS001,2009-08-24,0602,Pilot Pen Tennis presented by Schick - New Haven,WTA,Hard,O,United States,1st Round,M,7-6(6) 6-2,,4123,,,Elena Vesnina,RUS,446,,,Gisela Dulko,ARG
WTA,RS001,2009-08-16,0806,Rogers Cup - Toronto,WTA,Hard,O,Canada,QR2,Q,2-6 6-1 6-3,,4158,,,Monica Niculescu,ROU,446,,,Gisela Dulko,ARG
WTA,RS002,2009-08-15,0806,Rogers Cup - Toronto,WTA,Hard,O,Canada,QR1,Q,6-1 6-0,,446,,,Gisela Dulko,ARG,12009,,,Tristen Z. Dewar,USA
WTA,LS001,2009-08-10,1017,Western & Southern Financial Group Women's Open - Cincinnati,WTA,Hard,O,United States,1st Round,M,6-4 6-0,,59,,,Patty Schnyder,SUI,446,,,Gisela Dulko,ARG
WTA,LS001,2009-07-14,0466,Internazionali femminili di tennis di Palermo - Palermo,WTA,Clay,O,Italy,1st Round,M,6-4 6-1,,944,,,Anna-Lena Groenefeld,GER,446,,,Gisela Dulko,ARG
WTA,LS001,2009-07-10,1048,Swedish Open Women - Bastad,WTA,Clay,O,Sweden,Semi-finals,M,7-5 6-4,,438,,,Maria-Jose Martinez Sanchez,ESP,446,,,Gisela Dulko,ARG
WTA,LS002,2009-07-09,1048,Swedish Open Women - Bastad,WTA,Clay,O,Sweden,Quarter-finals,M,6-7(5) 6-3 7-6(6),,446,,,Gisela Dulko,ARG,5593,,,Dominika Cibulkova,SVK
WTA,LS003,2009-07-08,1048,Swedish Open Women - Bastad,WTA,Clay,O,Sweden,2nd Round,M,6-3 4-6 7-6(5),,446,,,Gisela Dulko,ARG,6019,,,Sorana Cirstea,ROU
WTA,LS004,2009-07-06,1048,Swedish Open Women - Bastad,WTA,Clay,O,Sweden,1st Round,M,6-4 6-0,,446,,,Gisela Dulko,ARG,512,,,Marta Domachowska,POL
WTA,LS001,2009-06-16,0710,AEGON International - Eastbourne,WTA,Grass,O,Great Britain,1st Round,M,6-3 6-1,,459,,,Marion Bartoli,FRA,446,,,Gisela Dulko,ARG
WTA,LS001,2009-05-20,0406,Internationaux de Strasbourg - Strasbourg,WTA,Clay,O,France,2nd Round,M,4-6 7-6(5) 6-4,,404,,,Stephanie Cohen-Aloro,FRA,446,,,Gisela Dulko,ARG
WTA,LS002,2009-05-18,0406,Internationaux de Strasbourg - Strasbourg,WTA,Clay,O,France,1st Round,M,6-1 7-6(3),,446,,,Gisela Dulko,ARG,1059,,,Mara Santangelo,ITA
WTA,RS001,2009-05-16,0406,Internationaux de Strasbourg - Strasbourg,WTA,Clay,O,France,QR1,Q,0-6 7-6(9) 6-3,,284,,,Jasmin Woehr,GER,421,,,Maria-Emilia Salerni,ARG
WTA,LS001,2009-05-11,1038,Mutua Madrilena Madrid Open - Madrid,WTA,Clay,O,Spain,1st Round,M,7-6(7) 6-1,,379,,,Daniela Hantuchova,SVK,446,,,Gisela Dulko,ARG
WTA,LS001,2009-05-05,0709,Internazionali BNL d'Italia - Rome,WTA,Clay,O,Italy,2nd Round,M,6-3 7-6(6),,444,,,Jelena Jankovic,SRB,446,,,Gisela Dulko,ARG
WTA,LS002,2009-05-04,0709,Internazionali BNL d'Italia - Rome,WTA,Clay,O,Italy,1st Round,M,6-2 6-3,,446,,,Gisela Dulko,ARG,5397,,,Karin Knapp,ITA
WTA,LS001,2009-05-06,0352,Estoril Open - Estoril,WTA,Clay,O,Portugal,2nd Round,M,6-3 6-0,,552,,,Maria Kirilenko,RUS,421,,,Maria-Emilia Salerni,ARG
WTA,LS002,2009-05-05,0352,Estoril Open - Estoril,WTA,Clay,O,Portugal,1st Round,M,6-4 6-4,,421,,,Maria-Emilia Salerni,ARG,6931,,,Julie Coin,FRA
WTA,LS001,2009-05-01,1051,Porsche Tennis Grand Prix - Stuttgart,WTA,Clay,O,Germany,Quarter-finals,M,6-3 6-2,,457,,,Svetlana Kuznetsova,RUS,446,,,Gisela Dulko,ARG
WTA,LS002,2009-04-29,1051,Porsche Tennis Grand Prix - Stuttgart,WTA,Clay,O,Germany,2nd Round,M,6-4 6-3,,446,,,Gisela Dulko,ARG,5416,,,Victoria Azarenka,BLR
WTA,LS003,2009-04-28,1051,Porsche Tennis Grand Prix - Stuttgart,WTA,Clay,O,Germany,1st Round,M,6-3 6-3,,446,,,Gisela Dulko,ARG,5900,,,Magdalena Rybarikova,SVK
WTA,RS001,2009-04-12,0804,Family Circle Cup - Charleston,WTA,Clay,O,United States,QR2,Q,6-1 6-1,,485,,,Abigail Spears,USA,5453,,,Betina Jozami,ARG
WTA,RS002,2009-04-11,0804,Family Circle Cup - Charleston,WTA,Clay,O,United States,QR1,Q,6-1 6-4,,5453,,,Betina Jozami,ARG,496,,,Angelika Roesch,GER
WTA,RS001,2009-04-04,0803,MPS Group Championships - Ponte Vedra Beach,WTA,Clay,O,United States,QR1,Q,6-0 6-3,,150,,,Alexandra Stevenson,USA,5453,,,Betina Jozami,ARG
