matchType,matchId,date,tournamentId,tournamentName,tournamentCategory,surface,inOrOutdoor,tournamentCountry,roundName,draw,result,resultStatusDesc,winnerId,winnerEntry,winnerSeed,winnerName,winnerCountry,loserId,loserEntry,loserSeed,loserName,loserCountry
WTA,RS025,2016-02-13,1073,"Rio Open presented by Claro - Rio de Janeiro, Brazil",International,Clay,O,BRAZIL,Q1,Q,64 60,,313138,,10,Maria Irigoyen,ARG,319305,W,,Carolina M Alves,BRA
WTA,RS012,2016-02-14,1073,"Rio Open presented by Claro - Rio de Janeiro, Brazil",International,Clay,O,BRAZIL,Q4,Q,63 62,,313138,,10,Maria Irigoyen,ARG,314192,,,Nastassja Burnett,ITA
WTA,LS021,2016-02-15,1073,"Rio Open presented by Claro - Rio de Janeiro, Brazil",International,Clay,O,BRAZIL,1,M,75 75,,312182,Q,,Elitsa Kostova,BUL,313138,Q,,Maria Irigoyen,ARG
WTA,RS030,2016-02-27,1039,"ABIERTO MONTERREY AFIRME presentado por MasterCard - Monterrey, Mexico",International,Hard,O,MEXICO,Q1,Q,57 61 75,,317263,,,Richel Hogenkamp,NED,313138,,,Maria Irigoyen,ARG
WTA,RS016,2016-04-02,1067,"Katowice Open - Katowice, Poland",International,Hard,I,POLAND,Q1,Q,61 64,,316739,,1,Kateryna Kozlova,UKR,313138,,,Maria Irigoyen,ARG
WTA,RS026,2016-04-09,0894,"Claro Open Colsanitas - Bogota, Colombia",International,Clay,O,COLOMBIA,Q1,Q,64 60,,316543,,6,Catalina Pella,ARG,314563,,,Tara Moore,GBR
WTA,RS013,2016-04-10,0894,"Claro Open Colsanitas - Bogota, Colombia",International,Clay,O,COLOMBIA,Q4,Q,57 64 64,,316543,,6,Catalina Pella,ARG,314672,,11,Aleksandrina Naydenova,BUL
WTA,LS031,2016-04-12,0894,"Claro Open Colsanitas - Bogota, Colombia",International,Clay,O,COLOMBIA,1,M,36 63 76(3),,316543,Q,,Catalina Pella,ARG,311647,,2,Teliana Pereira,BRA
WTA,LS015,2016-04-13,0894,"Claro Open Colsanitas - Bogota, Colombia",International,Clay,O,COLOMBIA,2,M,63 62,,316543,Q,,Catalina Pella,ARG,312182,,,Elitsa Kostova,BUL
WTA,LS007,2016-04-15,0894,"Claro Open Colsanitas - Bogota, Colombia",International,Clay,O,COLOMBIA,5,M,61 64,,314545,,5,Irina Falconi,USA,316543,Q,,Catalina Pella,ARG
WTA,RS022,2016-04-23,1005,"Grand Prix De SAR La Princesse Lalla Meryem - Rabat, Morocco",International,Clay,O,MOROCCO,Q1,Q,31 ret.,Retired,180356,,,Anastasia Rodionova,AUS,319112,,,Nadia Podoroska,ARG
WTA,RS030,2016-04-23,1082,"J&T Banka Prague Open - Prague, Czech Republic",International,Clay,O,CZECH REPUBLIC,Q1,Q,64 64,,313138,,,Maria Irigoyen,ARG,322394,W,,Anna Slovakova,CZE
WTA,RS015,2016-04-24,1082,"J&T Banka Prague Open - Prague, Czech Republic",International,Clay,O,CZECH REPUBLIC,Q2,Q,61 60,,318314,,,Barbora Krejcikova,CZE,313138,,,Maria Irigoyen,ARG
WTA,RS020,2016-05-13,0406,"Internationaux de Strasbourg - Strasbourg, France",International,Clay,O,FRANCE,Q1,Q,60 63,,317414,,3,Lauren Davis,USA,313138,,,Maria Irigoyen,ARG
WTA,RS030,2016-07-09,1079,"BRD Bucharest Open - Bucharest, Romania",International,Clay,O,ROMANIA,1,Q,3-6 7-5 6-3,,319112,,8,Nadia Podoroska,ARG,316299,W,8,Vanda Lukacs,HUN
WTA,RS015,2016-07-10,1079,"BRD Bucharest Open - Bucharest, Romania",International,Clay,O,ROMANIA,2,Q,6-4 6-4,,319112,,8,Nadia Podoroska,ARG,320228,,1,Rebecca Sramkova,SVK
WTA,RS007,2016-07-11,1079,"BRD Bucharest Open - Bucharest, Romania",International,Clay,O,ROMANIA,3,Q,4-3,,319112,,8,Nadia Podoroska,ARG,317584,,8,Viktoriya Tomova,BUL
WTA,LS019,2016-07-12,1079,"BRD Bucharest Open - Bucharest, Romania",International,Clay,O,ROMANIA,1,M,6-1 5-0,,317684,,1,Danka Kovinic,MNE,319112,Q,8,Nadia Podoroska,ARG
WTA,RS020,2016-07-30,1064,"Brasil Tennis Cup - Florianopolis, Brazil",International,Hard,O,BRAZIL,1,Q,7-5 5-2,,319305,,8,Carolina Alves,BRA,319112,,1,Nadia Podoroska,ARG
WTA,RS017,2016-07-30,1064,"Brasil Tennis Cup - Florianopolis, Brazil",International,Hard,O,BRAZIL,1,Q,7-6(5) 5-1,,320016,,1,Harmony Tan,FRA,320545,,8,Martina Capurro Taborda,ARG
WTA,RS027,2016-07-30,1064,"Brasil Tennis Cup - Florianopolis, Brazil",International,Hard,O,BRAZIL,1,Q,6-3 5-4,,317014,,1,Guadalupe Perez Rojas,ARG,320146,W,8,Ingrid Gamarra Martins,BRA
WTA,RS010,2016-07-31,1064,"Brasil Tennis Cup - Florianopolis, Brazil",International,Hard,O,BRAZIL,2,Q,6-2 6-2,,230283,,1,Emily Webley-smith,GBR,319112,,1,Nadia Podoroska,ARG
WTA,RS008,2016-07-31,1064,"Brasil Tennis Cup - Florianopolis, Brazil",International,Hard,O,BRAZIL,2,Q,3-6 7-5 6-5,,320545,,8,Martina Capurro Taborda,ARG,319854,,1,Montserrat Gonzalez,PAR
WTA,LS023,2016-08-01,1064,"Brasil Tennis Cup - Florianopolis, Brazil",International,Hard,O,BRAZIL,1,M,6-7(3) 6-3 5-2,,317070,,1,Timea Babos,HUN,319112,Q,8,Nadia Podoroska,ARG
WTA,LS030,2016-08-01,1064,"Brasil Tennis Cup - Florianopolis, Brazil",International,Hard,O,BRAZIL,1,M,6-3 5-1,,314419,,8,Paula Cristina Goncalves,BRA,320545,L,8,Martina Capurro Taborda,ARG
WTA,LS021,2016-08-01,1064,"Brasil Tennis Cup - Florianopolis, Brazil",International,Hard,O,BRAZIL,1,M,5-7 6-6,,320716,Q,8,Renata Zarazua,MEX,316543,,8,Catalina Pella,ARG
WTA,LS010,2016-08-02,1064,"Brasil Tennis Cup - Florianopolis, Brazil",International,Hard,O,BRAZIL,2,M,3-2,,316543,,8,Catalina Pella,ARG,319939,,1,Jelena Ostapenko,LAT
WTA,RS027,2016-10-08,1074,"Prudential Hong Kong Tennis Open - Hong Kong, China",International,Hard,O,"HONG-KONG, CHINA",1,Q,6-3 6-6,,319112,,1,Nadia Podoroska,ARG,317547,,8,Zhaoxuan Yang,CHN
WTA,RS013,2016-10-09,1074,"Prudential Hong Kong Tennis Open - Hong Kong, China",International,Hard,O,"HONG-KONG, CHINA",2,Q,5-1,,319112,,1,Nadia Podoroska,ARG,315294,,1,Dalila Jakupovic,SLO
WTA,RS030,2016-10-15,0730,"VTB Kremlin Cup - Moscow, Russia",Premier,Hard,I,RUSSIA,1,Q,6-2 7-5,,319112,,8,Nadia Podoroska,ARG,324613,W,8,Olesya Pervushina,RUS
