tieId,tieName,matchId,dateMatch,result,winnerName,winnerCountry,loserName,loserCountry
4940a47d-7fb7-4000-80c7-d2b8abb52012,W-FC-2025-G3-EUR-M-B-ALB-AZE-01,d1a4a5ed-a37c-4b7b-8652-9ff815e5c7d4,2025-06-18T00:00:00.000Z,Not Played,Anatereza Guli / Kristal Dule,ALB,Michelle Dzjachangirova / Lala Eyvazova,AZE
c6472276-2bc5-409d-8b3d-a986a6ef8f47,W-FC-2025-G3-AFR-PP10-12-BDI-ALG-01,37e00511-affa-40ae-9a4a-bed2f80c3192,2025-08-09T07:57:33.000Z,6-0 6-0,MELISSA RYM BENAMAR KERFAH,ALG,Yusra Irakoze,BDI
c6472276-2bc5-409d-8b3d-a986a6ef8f47,W-FC-2025-G3-AFR-PP10-12-BDI-ALG-01,413130df-a1f6-44ce-8271-62641441e404,2025-08-09T10:17:11.000Z,6-1 6-1,MELISSA RYM BENAMAR KERFAH / Rawane Mebarki,ALG,Safi Hategekimana / Ange Bebita Ishimwe,BDI
c6472276-2bc5-409d-8b3d-a986a6ef8f47,W-FC-2025-G3-AFR-PP10-12-BDI-ALG-01,bacb02cd-25ce-487e-82d5-f38d324e2540,2025-08-09T09:02:06.000Z,6-1 6-0,Bochra Rehab Mebarki,ALG,Ange Bebita Ishimwe,BDI
9c93d289-44ac-4691-b32c-b577b1a003c8,W-FC-2025-G3-AFR-PP10-12-ALG-UGA-01,c802d439-30d8-4f25-8b2b-c1fba394e754,2025-08-07T09:51:33.000Z,6-1 6-0,Bochra Rehab Mebarki,ALG,Patience Athieno,UGA
9c93d289-44ac-4691-b32c-b577b1a003c8,W-FC-2025-G3-AFR-PP10-12-ALG-UGA-01,d955ba60-0e2f-43cf-997d-c9f1c38f4f30,2025-08-07T08:09:56.000Z,6-3 6-3,Rawane Mebarki,ALG,Winnie Birungi,UGA
9c93d289-44ac-4691-b32c-b577b1a003c8,W-FC-2025-G3-AFR-PP10-12-ALG-UGA-01,fc90dbd1-b2ca-4918-8a2a-646fd874dad3,2025-08-07T11:15:59.000Z,6-7(1) 6-1 10-8,Bochra Rehab Mebarki / Rawane Mebarki,ALG,Winnie Birungi / Abigail Nabasinga Mulungi,UGA
8b66b60e-9a0e-4e91-bad6-0631af7235b5,W-FC-2025-G3-EUR-PP7-9-MNE-AND-01,0f664ee9-15f0-4e35-8ec3-0fb30f0323be,2025-06-21T08:36:20.000Z,6-2 1-0 ret.,Judit Cartana Alana,AND,Petra Mirkovic,MNE
94f019c1-06e0-4841-be73-58c90b7b7c92,W-FC-2025-G3-EUR-PP7-9-AND-AZE-01,aed13488-06eb-4632-9e95-38d60d5c18a6,2025-06-19T08:51:36.000Z,6-1 6-3,Judit Cartana Alana,AND,Lala Eyvazova,AZE
94f019c1-06e0-4841-be73-58c90b7b7c92,W-FC-2025-G3-EUR-PP7-9-AND-AZE-01,f0ecf64e-9310-428e-8d5e-b1b2b7ac072a,2025-06-19T11:44:01.000Z,6-2 6-3,Laura Pichel / Judit Cartana Alana,AND,Michelle Dzjachangirova / Lamiya Huseyn,AZE
