match_type,match_date,tournament_name,surface,tournament_country,round_name,draw,result,result_status,winner_entry,winner_seed,winner_name,winner_country,loser_entry,loser_seed,loser_name,loser_country
Fed/BJK Cup,2025-11-16,Play-Offs - Group C,Clay,Argentina,Round Robin,Main Draw,6-3 7-6(8),,,,Simona Waltert,SUI,,,Solana Sierra,ARG
Fed/BJK Cup,2025-11-16,Play-Offs - Group C,Clay,Argentina,Round Robin,Main Draw,6-2 6-0,,,,Julia Riera,ARG,,,Susan Bandecchi,SUI
Fed/BJK Cup,2025-11-14,Play-Offs - Group C,Clay,Argentina,Round Robin,Main Draw,6-2 6-1,,,,Julia Riera,ARG,,,Viktoria Hruncakova,SVK
Fed/BJK Cup,2025-11-14,Play-Offs - Group C,Clay,Argentina,Round Robin,Main Draw,6-2 6-4,,,,Solana Sierra,ARG,,,Rebecca Sramkova,SVK
Fed/BJK Cup,2025-04-12,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-3 6-4,,,,Victoria Rodriguez,MEX,,,Jazmin Ortenzi,ARG
Fed/BJK Cup,2025-04-12,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-3 1-6 6-2,,,,Ana Sofia Sanchez,MEX,,,Julia Riera,ARG
Fed/BJK Cup,2025-04-11,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-0 6-1,,,,Jazmin Ortenzi,ARG,,,Victoria Lopez Ocampos,PAR
Fed/BJK Cup,2025-04-11,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-4 6-4,,,,Julia Riera,ARG,,,Leyla Fiorella Britez Risso,PAR
Fed/BJK Cup,2025-04-10,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-2 6-1,,,,Jazmin Ortenzi,ARG,,,Sabrina Balderrama,VEN
Fed/BJK Cup,2025-04-10,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-2 6-3,,,,Julia Riera,ARG,,,Sofia Elena Cabezas Dominguez,VEN
Fed/BJK Cup,2025-04-09,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-0 6-1,,,,Julia Riera,ARG,,,Fernanda Labrana,CHI
Fed/BJK Cup,2025-04-09,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-2 6-2,,,,Jazmin Ortenzi,ARG,,,Antonia Vergara Rivera,CHI
Fed/BJK Cup,2025-04-08,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-2 6-7(5) 6-0,,,,Julia Riera,ARG,,,Kirsten-Andrea Weedon,GUA
Fed/BJK Cup,2025-04-08,Group I Americas,Hard,Mexico,Round Robin,Main Draw,6-0 6-0,,,,Jazmin Ortenzi,ARG,,,Nina Marcela Chavez Vicente,GUA
Fed/BJK Cup,2024-11-16,Play-Offs - Brazil vs Argentina,I.clay,Brazil,Last 16,Main Draw,6-2 6-1,,,,Jazmin Ortenzi,ARG,,,Laura Pigossi,BRA
Fed/BJK Cup,2024-11-16,Play-Offs - Brazil vs Argentina,I.clay,Brazil,Last 16,Main Draw,1-6 6-4 6-1,,,,Beatriz Haddad Maia,BRA,,,Solana Sierra,ARG
Fed/BJK Cup,2024-11-15,Play-Offs - Brazil vs Argentina,I.clay,Brazil,Last 16,Main Draw,3-6 7-5 6-2,,,,Beatriz Haddad Maia,BRA,,,Jazmin Ortenzi,ARG
