matchType,matchId,date,tournamentId,tournamentName,tournamentCategory,surface,tournamentCountry,roundName,draw,result,resultStatusDesc,winnerId,winnerEntry,winnerSeed,winnerName,winnerCountry,loserId,loserEntry,loserSeed,loserName,loserCountry
GS,1020002631,1984-11-26,1020000074,Australian Open,GS,Grass,Australia,,M,6-2 3-6 6-3,,800177047,DA,,Marcella Mesker,NED,800176405,DA,,Adriana Villagran-Reami,ARG
GS,1020003009,1989-01-16,1020000078,Australian Open,GS,Hard,Australia,,M,6-0 6-1,,800178604,DA,3,Gabriela Sabatini,ARG,800179063,DA,,Cecilia Dahlman,SWE
GS,1020003065,1989-01-16,1020000078,Australian Open,GS,Hard,Australia,,M,3-6 6-1 6-2,,800178604,DA,3,Gabriela Sabatini,ARG,800179923,DA,,Conchita Martinez,ESP
GS,1020003093,1989-01-16,1020000078,Australian Open,GS,Hard,Australia,,M,6-0 6-0,,800178604,DA,3,Gabriela Sabatini,ARG,800177794,DA,,Camille Benjamin,USA
GS,1020003107,1989-01-16,1020000078,Australian Open,GS,Hard,Australia,,M,6-0 4-6 6-1,,800178604,DA,3,Gabriela Sabatini,ARG,800177898,DA,13,Raffaella Reggi-Concato,ITA
GS,1020003114,1989-01-16,1020000078,Australian Open,GS,Hard,Australia,,M,6-4 2-6 6-4,,800178604,DA,3,Gabriela Sabatini,ARG,800177513,DA,6,Zina Garrison,USA
GS,1020003117,1989-01-16,1020000078,Australian Open,GS,Hard,Australia,,M,6-3 6-0,,800178014,DA,1,Steffi Graf,FRG,800178604,DA,3,Gabriela Sabatini,ARG
GS,1020003183,1990-01-15,1020000079,Australian Open,GS,Hard,Australia,,M,7-5 6-1,,800178604,DA,2,Gabriela Sabatini,ARG,800179264,DA,,Amy Frazier,USA
GS,1020003215,1990-01-15,1020000079,Australian Open,GS,Hard,Australia,,M,6-1 6-1,,800178604,DA,2,Gabriela Sabatini,ARG,800178965,DA,,Manon Bollegraf,NED
GS,1020059327,1990-01-15,1020000079,Australian Open,GS,Hard,Australia,,M,2-6 0-1 ret.,Retired,800178784,DA,,Claudia Porwik,GER,800178604,DA,2,Gabriela Sabatini,ARG
GS,1020061198,1991-01-07,1020000080,Australian Open,GS,Hard,Australia,,Q,6-3 6-4,,800179747,DA,,Jill Smoller,USA,800178967,DA,,Gabriela Mosca,ARG
GS,1020003251,1991-01-14,1020000080,Australian Open,GS,Hard,Australia,,M,6-2 7-6(5),,800180934,DA,,Karina Habsudova,TCH,800179585,DA,,Cristina Tessi,ARG
GS,1020003263,1991-01-14,1020000080,Australian Open,GS,Hard,Australia,,M,6-3 6-1,,800178604,DA,4,Gabriela Sabatini,ARG,800180300,DA,,Linda Wild,USA
GS,1020003287,1991-01-14,1020000080,Australian Open,GS,Hard,Australia,,M,6-0 6-1,,800179538,DA,16,Sabine Appelmans,BEL,800178275,DA,,Mercedes Paz,ARG
GS,1020003288,1991-01-14,1020000080,Australian Open,GS,Hard,Australia,,M,6-4 6-0,,800178895,DA,,Patricia Tarabini,ARG,800179017,DA,,Maria Strandlund-Tomsvik,SWE
GS,1020003319,1991-01-14,1020000080,Australian Open,GS,Hard,Australia,,M,6-1 6-1,,800178604,DA,4,Gabriela Sabatini,ARG,800179614,Q,,Maria Ekstrand,SWE
GS,1020003331,1991-01-14,1020000080,Australian Open,GS,Hard,Australia,,M,7-5 6-1,,800179538,DA,16,Sabine Appelmans,BEL,800178895,DA,,Patricia Tarabini,ARG
GS,1020003347,1991-01-14,1020000080,Australian Open,GS,Hard,Australia,,M,6-1 6-1,,800178604,DA,4,Gabriela Sabatini,ARG,800179941,DA,,Andrea Strnadova,TCH
GS,1020003361,1991-01-14,1020000080,Australian Open,GS,Hard,Australia,,M,6-3 6-1,,800178604,DA,4,Gabriela Sabatini,ARG,800179733,DA,,Rachel McQuillan,AUS
GS,1020003368,1991-01-14,1020000080,Australian Open,GS,Hard,Australia,,M,6-1 6-3,,800179018,DA,6,Arantxa Sanchez Vicario,ESP,800178604,DA,4,Gabriela Sabatini,ARG
GS,1020003375,1992-01-13,1020000081,Australian Open,GS,Hard,Australia,,M,6-2 6-4,,800179983,DA,,Kimiko Date,JPN,800178275,DA,,Mercedes Paz,ARG
GS,1020003377,1992-01-13,1020000081,Australian Open,GS,Hard,Australia,,M,6-3 7-5,,800296946,DA,,Yayuk Basuki,INA,800178895,DA,,Patricia Tarabini,ARG
