matchId,date,tournamentId,tournamentName,tournamentCategory,surface,tournamentCountry,roundId,roundDesc,draw,result,resultStatusDesc,winnerId,winnerEntry,winnerSeed,winnerName,winnerCountry,loserId,loserEntry,loserSeed,loserName,loserCountry
1020130759,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,6-0 6-2,,800192143,DA,,Valentina Solari,ARG,800185552,DA,,Claudia Perolini,URU
1020130760,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,6-3 6-7 6-0,,800179349,DA,,Tracey King,NZL,800199368,DA,,Alejandra Perez-Jimenez,ARG
1020130761,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,6-1 6-4,,800199347,DA,,Luciana Masante,ARG,800192228,DA,5,Mariana Lopez-Palacios,ARG
1020130763,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,7-5 6-4,,800199338,DA,,Daniela Forti,ARG,800199889,DA,,Natalia Rubio,ARG
1020130764,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,6-1 6-1,,800192090,DA,,Marcela Demilio,ARG,800103135,DA,,Victoria Zelaya,ARG
1020130765,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,6-1 6-0,,800184739,DA,7,Ana-Valeria Rolon,PAR,800199336,DA,,Gimena Martel,ARG
1020130766,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,6-3 6-1,,800185115,DA,6,Pamela Zingman,ARG,800203774,DA,,Maria Victoria Beortegui,ARG
1020130767,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,6-3 3-6 7-6,,800199866,DA,,Valeria Dag,ARG,800179500,DA,,Miyako Ataka,JPN
1020130768,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,6-3 1-6 6-2,,800199346,DA,,Mariana Faustinelli,ARG,800201135,DA,,Lorena Martinez,ARG
1020130770,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,6-3 6-2,,800185523,DA,8,Rebecca Jensen,USA,800199366,DA,,Laura Medei,ARG
1020130771,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,6-0 6-0,,800195209,DA,,Sandra Deamelio,ARG,800199340,DA,,Erika Hirth,ARG
1020130772,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,Q,6-3 6-3,,800199345,DA,,Eugenia Lopez-Ascarte,ARG,800200165,DA,,Sally-Ann Cuttler,AUS
1020130774,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,Q,6-1 6-0,,800190276,DA,1,Maria Noel Losada,ARG,800192143,DA,,Valentina Solari,ARG
1020130775,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,Q,6-0 6-1,,800199347,DA,,Luciana Masante,ARG,800179349,DA,,Tracey King,NZL
1020130776,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,Q,6-1 6-0,,800190793,DA,3,Isabell Quast,GER,800199338,DA,,Daniela Forti,ARG
1020130777,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,Q,6-0 6-1,,800192090,DA,,Marcela Demilio,ARG,800184739,DA,7,Ana-Valeria Rolon,PAR
1020130778,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,Q,6-1 5-7 6-3,,800185115,DA,6,Pamela Zingman,ARG,800199866,DA,,Valeria Dag,ARG
1020130779,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,Q,7-6 6-3,,800199346,DA,,Mariana Faustinelli,ARG,800199372,DA,4,Paula Racedo,ARG
1020130780,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,Q,6-0 6-0,,800185523,DA,8,Rebecca Jensen,USA,800195209,DA,,Sandra Deamelio,ARG
1020130781,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,Q,6-2 6-3,,800197611,DA,2,Angelika Roesch,GER,800199345,DA,,Eugenia Lopez-Ascarte,ARG
1020130783,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,3,Quarter-finals,Q,6-2 6-1,,800190793,DA,3,Isabell Quast,GER,800192090,DA,,Marcela Demilio,ARG
1020130784,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,3,Quarter-finals,Q,6-2 6-2,,800185115,DA,6,Pamela Zingman,ARG,800199346,DA,,Mariana Faustinelli,ARG
1020130785,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,3,Quarter-finals,Q,6-1 4-6 6-1,,800197611,DA,2,Angelika Roesch,GER,800185523,DA,8,Rebecca Jensen,USA
1020115115,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,6-1 2-6 6-3,,800179272,DA,1,Florencia Labat,ARG,800195159,DA,,Celeste Contin,ARG
1020115116,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,6-2 6-0,,800191285,DA,,Laura Montalvo,ARG,800192225,DA,,Caroline Bodart,BEL
1020115117,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,4-6 6-3 6-3,,800179657,DA,,Iwalani McCalla,JAM,800191058,DA,,Petra Mandula,HUN
1020115118,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,6-4 6-4,,800184570,DA,8,Mariana Diaz-Oliva,ARG,800178895,DA,,Patricia Tarabini,ARG
1020115119,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,6-3 6-3,,800183052,DA,4,Andrea Glass,GER,800181351,DA,,Maria-Florencia Cianfagna,ARG
1020115120,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,6-0 6-3,,800181096,DA,,Joelle Schad,DOM,800184110,DA,,Esme De Villiers,RSA
1020115121,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,6-1 6-2,,800190793,Q,,Isabell Quast,GER,800190096,DA,,Sabine Haas,GER
1020115122,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,6-4 6-7 7-5,,800179516,DA,6,Emanuela Zardo,SUI,800188281,DA,,Karin Palme,MEX
1020115123,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,6-2 6-0,,800178275,DA,5,Mercedes Paz,ARG,800182740,DA,,Vanessa Menga,BRA
1020115124,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,6-4 6-1,,800180956,DA,,Larissa Schaerer,PAR,800199373,WC,,Romina Ottoboni,ARG
1020115125,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,6-3 3-6 6-1,,800185115,Q,,Pamela Zingman,ARG,800190276,Q,,Maria Noel Losada,ARG
1020115126,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,7-6 6-3,,800183201,DA,3,Paola Suarez,ARG,800191516,DA,,Veronica Stele,ARG
1020115127,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,7-6 6-1,,800183186,DA,,Cintia Tortorella,ARG,800179133,DA,7,Luciana Tella,BRA
1020115128,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,7-5 6-4,,800197611,Q,,Angelika Roesch,GER,800184087,DA,,Miriam D'Agostini,BRA
1020115129,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,6-3 6-2,,800187181,WC,,Katalin Marosi,HUN,800183183,DA,,Maria-Fernanda Landa,ARG
1020115130,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,1,1st Round,M,3-6 6-2 6-1,,800178824,DA,2,Bettina Fulco,ARG,800184108,DA,,Nina Nittinger,GER
1020115131,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,M,7-5 6-4,,800179272,DA,1,Florencia Labat,ARG,800191285,DA,,Laura Montalvo,ARG
1020115132,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,M,6-2 6-1,,800184570,DA,8,Mariana Diaz-Oliva,ARG,800179657,DA,,Iwalani McCalla,JAM
1020115133,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,M,6-3 6-1,,800183052,DA,4,Andrea Glass,GER,800181096,DA,,Joelle Schad,DOM
1020115134,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,M,6-0 6-2,,800179516,DA,6,Emanuela Zardo,SUI,800190793,Q,,Isabell Quast,GER
1020115135,1995-12-11,1020001862,"$50,000 Tucuman",W50,Clay,Argentina,2,2nd Round,M,6-0 6-3,,800178275,DA,5,Mercedes Paz,ARG,800180956,DA,,Larissa Schaerer,PAR
