"character_count","display_name"
"41","Laura Pedrotti de Oliveira Laura Pedrotti"
"36","Capucine Cedillo- Vayson de Pradenne"
"35","Nathalie Gerald Marinovitch Zegarra"
"33","Anne Christine Lutkemeyer Obregon"
"32","Martina Claudeline Mora Da Silva"
"32","María Josefina Andrade Benedetti"
"32","Sara Alejandra Lozano Avellaneda"
"32","Stephanie Nadine Lautenschlaeger"
"32","Ximena Monserrath Duarte Ramirez"
"31","Carolina Isabel Chiatti Reynoso"
"31","Claudia Herrero Garica Honorato"
"31","Olivia Tognato da rocha martins"
"30","Anastasiya Mulder-Syrovatskaia"
"30","Daniela La Fuente Strassburger"
"30","Debora Janjulio Braga De Souza"
"30","Isabel Ulhoa De Faria Oliveira"
"30","Jizel Matos Sequeira Fernandes"
"30","Marcela Ivon Rodezno Hernandez"
"30","Maria Agostina Liccardi Sanudo"
"30","Maria Claudia Santos Sant'Anna"
"30","Maria Fernanda Aguirre Arteaga"
"30","Maria-Irene Squillaci-Sandoval"
"30","Mariana Fernández Larrandaburu"
"30","Mariana Isabel Higuita Barraza"
"30","Natasha Fourouclas - De Castro"
"30","Paola Valentina Quintana Rojas"
"30","Stephanie Johnson (WTA 100096)"
"30","Tifanny Lizeth Aguirre Alvarez"
"29","Ana Claudia Carbajal Espinosa"
"29","Anna Fischer Marcondes Ferraz"
"29","Camille Benjamin-Schermerhorn"
"29","Demi-Manuella Barao-Rodrigues"
"29","Eliana Maria Lopez Pappalardo"
"29","Evelin Taise Baziloni Gouveia"
"29","Evelyn Briyeeth Moreno Rivera"
"29","Gabriella Barbosa-Costa Silva"
"29","Ginebra Zoe Domínguez Riveros"
"29","Greccia Lucciana Cáceres Leon"
"29","Guti Gutierrez Cerezo Beatriz"
"29","Josefa Isidora Meneses Parada"
"29","Julieta Evangelina Bidahorria"
"29","Karen Natalia Martinez-Bernal"
"29","Karim Lisset Carreras Lampert"
"29","Katina Estefani Zepeda Barrio"
"29","Lorena Ivette Arias Rodriguez"
"29","Lya Isabel Fernandez Olivares"
"29","Maria Elena Medina Betancourt"
"29","Maria Jose Rodriguez Amenabar"
"29","Maria-Virginia Moreno-Heredia"
"29","María Dolores Martínez Abbona"
"29","María Emilia Manago Cortesini"
"29","María Laura Martínez Berruezo"
"29","María Victoria Gonzalez Pérez"
"29","Mia Agustina Junghanns Dietze"
"29","Nicole De O Crispino De Souza"
"29","Rita Bentes De Oliveira Pinto"
"29","Samantha Barijan-Vasconcellos"
"29","Sarai Delfina Monarrez Yesaki"
"29","Tiantsoa Rakotomanga Rajaonah"
"28","Adel Fernandez de Valderrama"
"28","Agustina Santamaria Teixeira"
"28","Aline Carolina Aveiro Candia"
"28","Ana Carla Dos Santos Resende"
"28","Ana Elizabeth Jimenez Garcia"
"28","Ana Lucia Migliarini De Leon"
"28","Andressa Vaz Osorio De Souza"
